Session,Date,StartTime,Session.Length,Participant.Sex,Participant.Age,ExpSex,Erotic.Hits.PC,Control.Hits.PC,Stimulus.Seeking
1,30/05/2006,6:30PM,14.94333,Female,20,Female,50,45.83333333,3
2,02/06/2006,12:06PM,13.63722,Male,20,Female,58.33333333,50,4.5
3,02/06/2006,12:35PM,11.83861,Female,19,Female,66.66666667,45.83333333,2
4,02/06/2006,4:09PM,12.90917,Male,22,Female,58.33333333,50,3
5,02/06/2006,4:32PM,13.20028,Female,22,Female,66.66666667,33.33333333,3
6,03/06/2006,2:08PM,12.13056,Male,20,Female,66.66666667,54.16666667,3
7,04/06/2006,1:09PM,12.60056,Male,19,Female,50,62.5,3
8,05/06/2006,4:43PM,16.1825,Female,21,Female,41.66666667,75,2
9,06/06/2006,12:08PM,12.43833,Male,19,Female,58.33333333,45.83333333,2.5
10,06/06/2006,12:43PM,11.95417,Female,21,Female,41.66666667,62.5,4
11,06/06/2006,1:08PM,12.49833,Female,18,Female,66.66666667,41.66666667,2
12,06/06/2006,1:29PM,13.46778,Male,22,Female,50,79.16666667,1.5
13,06/06/2006,3:44PM,12.72528,Female,23,Female,58.33333333,41.66666667,2.5
14,06/06/2006,5:37PM,12.35889,Female,20,Female,66.66666667,54.16666667,3
15,07/06/2006,12:32PM,12.20333,Male,23,Female,58.33333333,54.16666667,1
16,07/06/2006,12:54PM,12.65972,Male,20,Female,66.66666667,54.16666667,4
17,07/06/2006,2:43PM,12.77167,Female,21,Female,66.66666667,58.33333333,3
18,07/06/2006,6:29PM,11.77028,Female,20,Female,41.66666667,62.5,3.5
19,08/06/2006,12:36PM,11.6775,Male,25,Female,58.33333333,41.66666667,3
20,09/06/2006,12:13PM,11.80083,Female,20,Female,58.33333333,45.83333333,2
21,10/06/2006,12:06PM,11.45778,Female,20,Female,66.66666667,54.16666667,3
22,15/06/2006,12:35PM,10.61972,Female,22,Female,50,50,2
23,16/06/2006,2:10PM,13.01722,Male,22,Female,58.33333333,50,3.5
24,17/06/2006,10:19AM,9.883333,Female,19,Female,25,62.5,2
25,17/06/2006,10:44AM,12.80389,Female,19,Female,41.66666667,58.33333333,2.5
26,18/06/2006,11:18AM,10.97417,Female,21,Female,33.33333333,33.33333333,2.5
27,20/06/2006,3:46PM,8.28861,Male,21,Female,33.33333333,58.33333333,2.5
28,20/06/2006,5:08PM,11.94555,Female,18,Female,33.33333333,25,2.5
29,21/06/2006,1:33PM,11.70444,Male,19,Female,50,58.33333333,3.5
30,21/06/2006,6:35PM,11.89667,Male,20,Female,50,54.16666667,2.5
31,22/06/2006,12:42PM,11.17056,Male,19,Female,58.33333333,45.83333333,3
32,22/06/2006,3:03PM,12.37694,Male,20,Female,58.33333333,45.83333333,1
33,22/06/2006,6:08PM,13.4525,Male,19,Female,58.33333333,29.16666667,4
34,28/06/2006,11:58AM,10.96917,Male,20,Female,50,41.66666667,2.5
35,28/06/2006,3:11PM,11.80083,Male,20,Female,66.66666667,37.5,2
36,28/06/2006,4:25PM,12.94333,Male,17,Female,33.33333333,58.33333333,2.5
37,30/06/2006,12:15PM,13.52833,Male,19,Female,83.33333333,45.83333333,2
38,01/07/2006,1:01PM,11.61944,Male,22,Female,66.66666667,58.33333333,3
39,05/07/2006,12:07PM,12.30944,Male,22,Female,66.66666667,41.66666667,3
40,05/07/2006,2:02PM,11.51944,Male,21,Female,41.66666667,50,3.5
41,30/10/2006,10:07AM,8.983334,Female,18,Female,66.66666667,38.88888889,2.5
42,30/10/2006,10:37AM,9.135,Male,27,Female,55.55555556,50,2.5
43,31/10/2006,12:44PM,9.536667,Female,20,Female,61.11111111,50,3.5
44,31/10/2006,1:06PM,8.346111,Male,21,Female,61.11111111,44.44444444,2
45,31/10/2006,1:36PM,9.853333,Female,19,Female,55.55555556,50,2.5
46,01/11/2006,11:36AM,9.136389,Female,18,Female,55.55555556,72.22222222,4
47,01/11/2006,1:37PM,8.008889,Female,19,Female,55.55555556,61.11111111,2.5
48,01/11/2006,3:35PM,8.120833,Female,19,Female,33.33333333,33.33333333,2.5
49,02/11/2006,10:31AM,7.984722,Male,20,Female,72.22222222,38.88888889,3
50,02/11/2006,11:38AM,8.719444,Female,19,Female,44.44444444,33.33333333,2
51,02/11/2006,12:00PM,9.333611,Female,20,Female,44.44444444,55.55555556,3
52,02/11/2006,12:42PM,8.637222,Female,18,Female,33.33333333,44.44444444,1
53,03/11/2006,10:08AM,8.504444,Male,22,Female,61.11111111,44.44444444,3
54,03/11/2006,10:39AM,8.299444,Female,19,Female,66.66666667,50,3
55,03/11/2006,11:04AM,7.903056,Female,18,Female,55.55555556,72.22222222,2
56,04/11/2006,10:39AM,9.013333,Female,19,Female,55.55555556,55.55555556,2.5
57,04/11/2006,11:06AM,8.037222,Female,19,Female,33.33333333,33.33333333,3
58,04/11/2006,11:34AM,8.18,Male,19,Female,50,50,2
59,04/11/2006,12:32PM,8.1825,Male,18,Female,55.55555556,72.22222222,3
60,04/11/2006,1:01PM,9.603889,Female,18,Female,38.88888889,44.44444444,2
61,05/11/2006,10:09AM,8.285,Female,21,Female,50,55.55555556,2.5
62,05/11/2006,10:34AM,8.156389,Male,18,Female,77.77777778,55.55555556,2
63,05/11/2006,11:03AM,9.392222,Female,19,Female,55.55555556,44.44444444,2.5
64,06/11/2006,10:06AM,8.528611,Male,18,Female,55.55555556,55.55555556,2
65,06/11/2006,11:14AM,8.178611,Male,18,Female,61.11111111,50,2.5
66,06/11/2006,11:33AM,8.079445,Male,20,Female,50,61.11111111,2.5
67,06/11/2006,11:58AM,8.839444,Male,19,Female,55.55555556,50,3
68,06/11/2006,12:35PM,10.22722,Male,18,Female,38.88888889,44.44444444,2
69,07/11/2006,12:36PM,9.195556,Male,20,X,55.55555556,38.88888889,2.5
70,07/11/2006,1:35PM,8.131945,Female,19,Male,27.77777778,50,2
71,07/11/2006,2:04PM,8.292222,Female,18,Male,66.66666667,55.55555556,3.5
72,07/11/2006,2:36PM,9.933333,Female,18,Male,72.22222222,33.33333333,3
73,08/11/2006,11:35AM,8.95,Male,20,Female,66.66666667,38.88888889,3
74,08/11/2006,12:06PM,10.31861,Male,24,Female,33.33333333,44.44444444,3
75,08/11/2006,12:37PM,9.183333,Male,18,Male,50,38.88888889,2.5
76,08/11/2006,1:37PM,14.77111,Female,18,Male,66.66666667,61.11111111,4
77,08/11/2006,2:05PM,8.505,Female,21,Female,55.55555556,38.88888889,2.5
78,08/11/2006,3:06PM,8.176389,Male,20,Female,44.44444444,50,2.5
79,08/11/2006,4:02PM,8.120277,Female,18,Female,44.44444444,55.55555556,4.5
80,09/11/2006,10:07AM,8.418889,Female,19,Female,44.44444444,55.55555556,2.5
81,09/11/2006,11:36AM,9.926389,Female,18,Female,61.11111111,44.44444444,1.5
82,09/11/2006,12:04PM,10.06139,Female,19,Female,44.44444444,55.55555556,2
83,09/11/2006,12:36PM,8.053889,Female,22,Female,33.33333333,38.88888889,2.5
84,09/11/2006,1:04PM,10.44972,Female,21,Female,61.11111111,55.55555556,3
85,09/11/2006,1:19PM,9.344444,Male,21,Female,44.44444444,61.11111111,1
86,10/11/2006,10:07AM,8.530556,Female,20,Female,55.55555556,61.11111111,3
87,10/11/2006,10:34AM,9.047778,Female,19,Female,61.11111111,38.88888889,2.5
88,10/11/2006,11:04AM,8.778889,Female,18,Female,44.44444444,33.33333333,3
89,11/11/2006,10:06AM,9.335556,Male,20,Female,44.44444444,38.88888889,2.5
90,11/11/2006,10:35AM,9.3075,Male,18,Female,27.77777778,72.22222222,2
91,11/11/2006,11:10AM,8.769167,Female,18,Female,44.44444444,44.44444444,2
92,11/11/2006,11:36AM,8.1425,Female,19,Female,55.55555556,44.44444444,3.5
93,11/11/2006,12:06PM,8.755834,Female,18,Female,77.77777778,66.66666667,4
94,11/11/2006,12:35PM,9.061666,Male,25,Female,44.44444444,33.33333333,3.5
95,13/11/2006,11:10AM,9.366944,Male,20,Female,55.55555556,44.44444444,2.5
96,14/11/2006,11:08AM,10.15194,Male,19,Female,55.55555556,61.11111111,2.5
97,14/11/2006,2:04PM,9.418333,Male,21,Female,27.77777778,83.33333333,2.5
98,14/11/2006,3:06PM,9.011111,Male,18,Female,66.66666667,44.44444444,1.5
99,15/11/2006,3:04PM,8.801666,Male,18,Female,66.66666667,27.77777778,3
100,16/11/2006,12:41PM,8.308333,Male,19,Female,38.88888889,44.44444444,2.5
